,product_name,product_image,product_price
40,Váy phối tay phồng chân xòe,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000526__1__thumb.jpg,"639,000đ"
41,Áo thun ôm cutout eo trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_thun_om_cutout_eo_truoc__1_thumb.jpg,"149,000đ"
42,Quần yếm kiểu chun sau,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Quan_yem_kieu_chun_sau__1__2__thumb.jpg,"460,000đ"
43,Váy tay bồng đuôi cá XL,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8591_thumb.jpg,"649,000đ"
44,Sét sơ mi quần short 3 CT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220823/DSC_0551_thumb.jpg,"600,000đ"
45,Váy cổ vuông ly chéo ngực,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0858_thumb.jpg,"580,000đ"
46,Quần chun sườn dáng thụng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220825/DSC_3483_thumb.jpg,"359,000đ"
47,Chân Váy A 2 túi ốp dây đai kiểu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8750_thumb.jpg,"420,000đ"
48,Chân váy dáng A phồng hông,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Chan_vay_dang_A_phong_hong__4_thumb.jpg,"299,000đ"
49,Chân váy cạp liền 4 ly,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Chan_vay_cap_lien_4_ly__1_thumb.jpg,"400,000đ"
50,Quần suông 2 ly lật trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Quan_suong_2_ly_lat_truoc__1___Sao_chep_thumb.jpg,"429,000đ"
51,Váy 2 dây cổ nhún,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220714/CC_000106_thumb.jpg,"410,000đ"
52,Sơ mi vai rúc cổ đức,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5386_thumb.jpg,"320,000đ"
53,Áo thun cổ V tà chéo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4796_thumb.jpg,"220,000đ"
54,Áo mangto dáng dài cổ ve,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CC_001638_thumb.jpg,"940,000đ"
55,Áo mangto tay zaclang tay ly,,Liên hệ
56,Áo thun phối lưới cổ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/12TNC8006OT__1_thumb.jpg,"179,000đ"
57,Áo bomber phối vai bo gấu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5511_thumb.jpg,"630,000đ"
58,Váy dáng A túi ốp,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220728/DSC_9366_thumb.jpg,"559,000đ"
